id byear psire pdam cdam csire sire.changed dam.changed problem sgen dgen rsire rdam
BELF000451729296 2014 CANM000009732062 BELF000326813148 BELF000326813148 ITAM017990915143 YES NO OK 1 0 ITAM017990915143 BELF000326813148
BELF000456072718 2015 CANM000104854291 BELF000857135389 BELF000857135389 USAM000140145553 YES NO OK 1 0 USAM000140145553 BELF000857135389
BELF000456505020 2015 NLDM000268923802 BELF000026379484 BELF000026379484 CANM000101431985 YES NO OK 1 0 CANM000101431985 BELF000026379484
BELF000456649621 2015 CANM000011761809 BELF000857747446 BELF000857747446 USAM000071088720 YES NO OK 1 0 USAM000071088720 BELF000857747446
BELF000458525720 2016 NLDM000762769560 BELF000387515622 BELF000387515622 BELM000155817416 YES NO OK 1 0 BELM000155817416 BELF000387515622
BELF000458929567 2017 CANM000104854291 BELF000458267344 BELF000458267344 GBRM000000642262 YES NO OK 1 0 GBRM000000642262 BELF000458267344
BELF000459603637 2017 840M003129015989 BELF000256505021 BELF000256505021 USAM000072156794 YES NO OK 1 0 USAM000072156794 BELF000256505021
BELF000461920688 2021 BELM000158659977 BELF000363735014 BELF000162914611 BELM000158659977 NO YES OK 0 1 BELM000158659977 BELF000162914611
BELF000463735019 2019 BELM000211856902 BELF000752557646 BELF000452557611 GBRM000000631308 YES YES OK 1 1 GBRM000000631308 BELF000452557611
BELF000464520495 2022 DEUM000539590548 BELF000163760156 BELF000563760140 DEUM000539590548 NO YES OK 1 1 DEUM000539590548 BELF000563760140
BELF000466420815 2023 DEUM000770555951 BELF000761903461 BELF000761903461 840M003132352462 YES NO OK 1 0 840M003132352462 BELF000761903461
BELF000556072709 2015 CANM000104854291 BELF000153712569 BELF000153712569 CANM000007927543 YES NO OK 1 0 CANM000007927543 BELF000153712569
BELF000556649626 2015 CANM000011761809 BELF000457747434 BELF000457747434 USAM000071088720 YES NO OK 1 0 USAM000071088720 BELF000457747434
BELF000558768905 2016 CANM000104854291 BELF000150669694 BELF000150669694 ITAM017990516801 YES NO OK 1 0 ITAM017990516801 BELF000150669694
BELF000560932185 2019 BELM000155817416 BELF000456711535 BELF000456711535 BELM000456153928 YES NO OK 1 0 BELM000456153928 BELF000456711535
BELF000561717467 2016 GBRM000000631308 BELF000926130457 BELF000926130457 NLDM000498938423 YES NO OK 1 0 NLDM000498938423 BELF000926130457
BELF000562939635 2018 CANM000107567492 BELF000956324116 BELF000956324116 USAM000072156794 YES NO OK 1 0 USAM000072156794 BELF000956324116
BELF000562939733 2018 840M003130010426 BELF000451729296 BELF000457406292 CANM000011696704 YES YES OK 1 1 CANM000011696704 BELF000457406292
BELF000563607600 2020 840M003014562176 BELF000159351139 BELF000163643632 840M003014562176 NO YES OK 0 1 840M003014562176 BELF000163643632
BELF000564279092 2020 CANM000012731113 BELF000363821083 BELF000363821083 AUSM000H01993596 YES NO OK 1 0 AUSM000H01993596 BELF000363821083
BELF000658525747 2016 USAM000066382657 BELF000387331913 BELF000387331913 BELM000228058220 YES NO OK 1 0 BELM000228058220 BELF000387331913
BELF000659312005 2017 GBRM000000631308 BELF000151721484 BELF000151721484 DEUM000664127354 YES NO OK 1 0 DEUM000664127354 BELF000151721484
BELF000659337566 2017 CANM000104854291 BELF000861496359 BELF000861496359 DEUM000666519827 YES NO OK 1 0 DEUM000666519827 BELF000861496359
BELF000661556948 2018 840M003010354030 BELF000056715569 BELF000758124920 CANM000012189047 YES YES OK 1 1 CANM000012189047 BELF000758124920
BELF000661779815 2017 NLDM000368449686 BELF000356046404 BELF000756046464 NLDM000843570795 YES YES OK 1 1 NLDM000843570795 BELF000756046464
BELF000664221815 2020 USAM000072128125 BELF000663855126 BELF000663855126 NLDM000676012246 YES NO OK 1 1 NLDM000676012246 BELF000663855126
BELF000664408746 2019 CANM000012189047 BELF000758672111 BELF000758672111 BELM000162910687 YES NO OK 1 1 BELM000162910687 BELF000758672111
BELF000666443221 2023 840M003132198315 BELF000163733721 BELF000163733721 USAM000072128125 YES NO OK 1 0 USAM000072128125 BELF000163733721
BELF000666614615 2023 840M003209641351 BELF000261926038 BELF000261926038 NLDM000889152469 YES NO OK 1 0 NLDM000889152469 BELF000261926038
BELF000756234367 2015 GBRM000000631308 BELF000526448033 BELF000526448033 BELM000757316596 YES NO OK 1 0 BELM000757316596 BELF000526448033
BELF000756649690 2016 NLDM000295614274 BELF000557955210 BELF000557955210 ITAM017990915130 YES NO OK 1 1 ITAM017990915130 BELF000557955210
BELF000758214875 2014 DNKM000000255324 BELF000653652313 BELF000653652313 NLDM000724673634 YES NO OK 1 0 NLDM000724673634 BELF000653652313
BELF000761951879 2021 CANM000107559777 BELF000063790072 BELF000063790072 840M003138948156 YES NO OK 1 0 840M003138948156 BELF000063790072
BELF000761964552 2020 USAM000071088720 BELF000362928622 BELF000362928622 840M003139851226 YES NO OK 1 0 840M003139851226 BELF000362928622
BELF000766372545 2022 840M003200914543 BELF000764279088 BELF000164539916 840M003200914543 NO YES OK 0 1 840M003200914543 BELF000164539916
BELF000851705125 2015 CANM000008956383 BELF000353650801 BELF000353650801 NLDM000498938423 YES NO OK 1 0 NLDM000498938423 BELF000353650801
BELF000856019420 2015 USAM000071494672 BELF000027049603 BELF000027049603 USAM000061980877 YES NO OK 1 0 USAM000061980877 BELF000027049603
BELF000856715551 2016 CANM000008956383 BELF000358124905 BELF000358124905 NLDM000498938423 YES NO OK 1 0 NLDM000498938423 BELF000358124905
BELF000859603618 2017 USAM000071088720 BELF000456505003 BELF000456505003 USAM000072156794 YES NO OK 1 0 USAM000072156794 BELF000456505003
BELF000861556947 2018 CANM000012189047 BELF000758124920 BELF000056715569 840M003010354030 YES YES OK 1 1 840M003010354030 BELF000056715569
BELF000861784317 2018 NLDM000394346135 BELF000557955210 BELF000557955210 ITAM019500393890 YES NO OK 1 1 ITAM019500393890 BELF000557955210
BELF000861903418 2020 DEUM000539063887 BELF000556728908 BELF000556728908 840M003138948156 YES NO OK 1 0 840M003138948156 BELF000556728908
BELF000862911579 2018 840M003011789392 BELF000853896400 BELF000853896400 BELM000456153928 YES NO OK 1 1 BELM000456153928 BELF000853896400
BELF000863578766 2019 FRAM002229184217 BELF000158515781 BELF000358515715 840M003011816312 YES YES OK 1 1 840M003011816312 BELF000358515715
BELF000864512071 2021 840M003138948156 BELF000861573893 BELF000861573893 840M003125993715 YES NO OK 1 0 840M003125993715 BELF000861573893
BELF000864525869 2021 BELM000059624166 BELF000463775634 BELF000463775634 USAM000073519358 YES NO OK 1 0 USAM000073519358 BELF000463775634
BELF000864609352 2021 CANM000012189047 BELF000861583601 BELF000363813257 NLDM000597646670 YES YES OK 1 1 NLDM000597646670 BELF000363813257
BELF000956649624 2015 CANM000011761809 BELF000457747403 BELF000457747403 USAM000071088720 YES NO OK 1 1 USAM000071088720 BELF000457747403
BELF000958727722 2017 NLDM000386465554 BELF000157525826 BELF000157525826 ITAM020500225053 YES NO OK 1 0 ITAM020500225053 BELF000157525826
BELF000961717451 2015 CANM000008956383 BELF000326130463 BELF000326130463 NLDM000498938423 YES NO OK 1 0 NLDM000498938423 BELF000326130463
BELF000963564650 2020 840M003129128855 BELF000161786338 BELF000161786338 BELM000561786370 YES NO OK 1 1 BELM000561786370 BELF000161786338
BELF000966041110 2022 USAM000072128125 BELF000264233286 BELF000264233286 840M003138948156 YES NO OK 1 0 840M003138948156 BELF000264233286
BELF000966420804 2022 AUSM000H01993596 BELF000460909174 BELF000460909174 840M003138948156 YES NO OK 1 1 840M003138948156 BELF000460909174
BELM000063550875 2019 FRAM002229184217 BELF000556715575 BELF000762903376 840M003131003460 YES YES OK 1 1 840M003131003460 BELF000762903376
BELM000263753828 2018 USAM000070726908 BELF000452651925 BELF000452651925 CANM000012264628 YES NO OK 1 0 CANM000012264628 BELF000452651925
BELM000426373794 2010 NLDM000268923802 BELF000555476224 BELF000555476224 CANM000101431985 YES NO OK 1 0 CANM000101431985 BELF000555476224
BELF000328084808 2019 840M003132417775 BELF000058541807 BELF000058541807 840M003132417775 NO NO SIRE 1 0 0 BELF000058541807
BELF000366132303 2022 BELM000158379751 BELF000861784317 BELF000058710143 BELM000158379751 NO YES SIRE 1 1 0 BELF000058710143
BELF000464609337 2021 840M003138948156 BELF000061583636 BELF000061583636 840M003138948156 NO NO ??? 1 1 0 0
BELF000264539937 2021 CANM000012731113 BELF000061614626 BELF000061614626 CANM000012731113 NO NO SIRE 1 0 0 BELF000061614626
BELF000364777651 2021 840M003132352462 BELF000063760716 BELF000063760716 840M003132352462 NO NO SIRE 1 0 0 BELF000063760716
BELF000165664218 2005 BELM000365428181 BELF000065428157 BELF000065428157 BELM000365428181 NO NO SIRE 1 0 0 BELF000065428157
BELF000565741553 2007 BELM000365428181 BELF000065594873 BELF000065594873 BELM000365428181 NO NO SIRE 1 0 0 BELF000065594873
BELF000157988468 2014 CANM000011104016 BELF000127426908 BELF000127426908 CANM000011104016 NO NO SIRE 1 0 0 BELF000127426908
BELF000563735030 2019 NLDM000532478861 BELF000152557605 BELF000152557605 NLDM000532478861 NO NO SIRE 1 0 0 BELF000152557605
BELF000856039005 2015 NLDM000396647605 BELF000156296520 BELF000156296520 NLDM000396647605 NO NO SIRE 1 0 0 BELF000156296520
BELF000563879189 2019 840M003125993715 BELF000158345504 BELF000158345504 840M003125993715 NO NO SIRE 1 0 0 BELF000158345504
BELF000666132338 2023 USAM000058948801 BELF000158710037 BELF000158710037 USAM000058948801 NO NO ??? 1 1 0 0
BELF000261628847 2019 CANM000011775998 BELF000158927960 BELF000158927960 CANM000011775998 NO NO DAM 0 1 CANM000011775998 0
BELF000761418544 2006 NLDM000370975496 BELF000161363999 BELF000161363999 NLDM000370975496 NO NO SIRE 1 0 0 BELF000161363999
BELF000264273397 2021 840M003013614152 BELF000161580193 BELF000161580193 840M003013614152 NO NO ??? 1 1 0 0
BELF000166420809 2022 840M003132352462 BELF000161693661 BELF000161693661 840M003132352462 NO NO SIRE 1 0 0 BELF000161693661
BELF000061901917 2020 USAM000070625988 BELF000161717487 BELF000161717487 USAM000070625988 NO NO ??? 1 1 0 0
BELF000767649712 2023 840M003202768388 BELF000161898669 BELF000161898669 840M003202768388 NO NO DAM 0 1 840M003202768388 0
BELM000166420910 2022 840M003125993715 BELF000161903447 BELF000161903447 840M003125993715 NO NO ??? 1 1 0 0
BELF000066153646 2022 840M003213064510 BELF000163562113 BELF000163562113 840M003213064510 NO NO DAM 0 1 840M003213064510 0
BELF000464265234 2021 NLDM000666249656 BELF000163744928 BELF000163744928 NLDM000666249656 NO NO SIRE 1 0 0 BELF000163744928
BELF000864676453 2021 840M003132353302 BELF000163879116 BELF000163879116 840M003132353302 NO NO SIRE 1 0 0 BELF000163879116
BELF000964827640 2022 840M003209641351 BELF000164092049 BELF000164092049 840M003209641351 NO NO SIRE 1 0 0 BELF000164092049
BELF000766057549 2023 DEUM000349417145 BELF000164121694 BELF000164121694 DEUM000349417145 NO NO SIRE 1 0 0 BELF000164121694
BELF000366372547 2022 840M003201598569 BELF000164539916 BELF000164539916 840M003201598569 NO NO DAM 0 1 840M003201598569 0
BELF000127419733 2011 ITAM019990151044 BELF000165610367 BELF000165610367 ITAM019990151044 NO NO SIRE 1 0 0 BELF000165610367
BELM000161730269 2018 NLDM000328731187 BELF000256316417 BELF000256316417 NLDM000328731187 NO NO SIRE 1 0 0 BELF000256316417
BELF000161556929 2018 BELM000011966432 BELF000656468114 BELF000256468116 BELM000011966432 NO YES SIRE 1 1 0 BELF000256468116
BELF000361556927 2018 USAM000071864244 BELF000256468116 BELF000256468116 BELM000011966432 YES NO DAM 1 1 BELM000011966432 0
BELF000458425746 2016 USAM000062072898 BELF000257817919 BELF000257817919 USAM000062072898 NO NO SIRE 1 0 0 BELF000257817919
BELF000064993803 2022 840M003011816312 BELF000258411928 BELF000258411928 840M003011816312 NO NO SIRE 1 0 0 BELF000258411928
BELF000864408731 2019 840M003125201993 BELF000258672105 BELF000258672105 840M003125201993 NO NO DAM 0 1 840M003125201993 0
